OBJECTID,date_,time_value_ms,time_uncertainty,latitude_value,longitude_value,depth_value,magnitude_value_M,quality_associatedPhaseCount,quality_usedPhaseCount,quality_associatedStationCount,quality_usedStationCount,quality_standardError,quality_azimuthalGap,quality_maximumDistance,quality_minimumDistance,quality_medianDistance,Tiempo
38,9/4/2016 11:26,675.822.000.000.000.000.000,0.23625463,-2.194.329.740.000.000,-77.805.313.110.000.000,5.000.000.000.000.000,4.806.352.680.000.000,110.000.000.000.000.000,102.000.000.000.000.000,100.000.000.000.000.000,92.000.000.000.000.000,1.009.902.790.000.000,194.375.834.500.000.000,3.243.049.620.000.000,0.58326751,1.722.303.150.000.000,9/4/2016 11:26
39,13/4/16 21:28,523.839.000.000.000.000.000,0.48063542,-2.419.541.840.000.000,-78.726.562.500.000.000,106.666.336.100.000.000,3.801.294.300.000.000,58.000.000.000.000.000,49.000.000.000.000.000,55.000.000.000.000.000,47.000.000.000.000.000,0.5711525,118.220.565.800.000.000,3.311.612.130.000.000,0.50970173,1.871.800.300.000.000,13/4/16 21:28
40,15/4/16 15:03,912.841.000.000.000.000.000,0.69916558,-0.832726,-80.807.876.590.000.000,21.119.470.600.000.000,3.672.453.730.000.000,54.000.000.000.000.000,26.000.000.000.000.000,50.000.000.000.000.000,22.000.000.000.000.000,0.5772704,214.753.318.799.998.000,2.696.681.260.000.000,0.13006653,2.128.602.500.000.000,15/4/16 15:03
41,16/4/16 23:47,380.623.000.000.000.000.000,0.32251552,0.31010154,-80.126.907.349.999.800,12.186.975.479.999.900,5.422.642.270.000.000,114.000.000.000.000.000,44.000.000.000.000.000,106.000.000.000.000.000,40.000.000.000.000.000,0.4811666,178.244.264.600.000.000,2.135.784.860.000.000,0.25040066,1.554.038.410.000.000,16/4/16 23:47
42,16/4/16 23:58,487.756.000.000.000.000.000,0.49331374,0.34739658,-80.157.653.809.999.900,17.044.311.520.000.000,7.405.960.750.000.000,132.000.000.000.000.000,30.000.000.000.000.000,128.000.000.000.000.000,28.000.000.000.000.000,0.65671202,185.836.488.699.998.000,1.850.543.260.000.000,0.29516056,0.9534142,16/4/16 23:58
43,17/4/16 00:11,971.631.000.000.000.000.000,0.6970174,-0.04774859,-80.232.658.389.999.800,5.427.056.790.000.000,4.169.996.970.000.000,21.000.000.000.000.000,20.000.000.000.000.000,19.000.000.000.000.000,18.000.000.000.000.000,0.95779719,207.798.193.000.000.000,2.294.001.100.000.000,0.20966455,1.635.830.050.000.000,17/4/16 00:11
44,17/4/16 00:16,458.798.000.000.000.000.000,0.71512932,-0.00512801,-80.331.718.440.000.000,7.715.023.040.000.000,3.964.450.330.000.000,58.000.000.000.000.000,15.000.000.000.000.000,55.000.000.000.000.000,12.000.000.000.000.000,0.5739953,231.591.079.699.999.000,1.366.541.270.000.000,0.28385976,0.93955815,17/4/16 00:19
45,17/4/16 00:19,106.854.000.000.000.000.000,0.48929855,0.04018167,-80.327.339.170.000.000,4.411.757.470.000.000,5.118.401.160.000.000,86.000.000.000.000.000,86.000.000.000.000.000,83.000.000.000.000.000,83.000.000.000.000.000,1.011.800.510.000.000,191.477.115.599.999.000,4.396.288.400.000.000,0.32821792,2.104.102.140.000.000,17/4/16 00:16
46,17/4/16 00:29,660.215.000.000.000.000.000,0.60135347,-0.21443254,-80.663.482.669.999.800,6.983.013.150.000.000,5.657.324.970.000.000,105.000.000.000.000.000,99.000.000.000.000.000,102.000.000.000.000.000,96.000.000.000.000.000,1.402.065.990.000.000,213.815.708.199.998.000,3.634.090.900.000.000,0.45805615,2.347.601.170.000.000,17/4/16 00:29
47,17/4/16 00:54,358.253.000.000.000.000.000,1.035.643.730.000.000,0.33325723,-80.476.760.859.999.800,7.600.702.290.000.000,4.369.739.140.000.000,32.000.000.000.000.000,32.000.000.000.000.000,30.000.000.000.000.000,30.000.000.000.000.000,0.86722122,255.735.965.700.000.000,2.949.383.970.000.000,0.6545577,2.115.928.170.000.000,17/4/16 00:54
