OBJECTID,date_,time_value_ms,time_uncertainty,latitude_value,longitude_value,depth_value,magnitude_value_M,quality_associatedPhaseCount,quality_usedPhaseCount,quality_associatedStationCount,quality_usedStationCount,quality_standardError,quality_azimuthalGap,quality_maximumDistance,quality_minimumDistance,quality_medianDistance,Tiempo
219,2/5/2016 16:06,502.279.000.000.000.000.000,0.28678003,-0.66851568,-77.752.456.670.000.000,1.447.120.310.000.000,3.551.599.550.000.000,56.000.000.000.000.000,56.000.000.000.000.000,50.000.000.000.000.000,50.000.000.000.000.000,0.65349159,150.846.843.699.999.000,1.472.760.320.000.000,0.45120338,0.89557481,2/5/2016 16:06
220,2/5/2016 18:03,937.391.000.000.000.000.000,0.94835731,-1.515.956.640.000.000,-80.911.079.409.999.900,5.000.000.000.000.000,3.647.022.050.000.000,28.000.000.000.000.000,28.000.000.000.000.000,28.000.000.000.000.000,28.000.000.000.000.000,1.124.033.850.000.000,245.538.562.799.999.000,3.788.628.340.000.000,0.13894203,2.636.929.270.000.000,2/5/2016 18:03
221,3/5/2016 3:44,630.292.000.000.000.000.000,0.31163008,0.41329905,-79.920.402.530.000.000,13.284.849.169.999.900,4.773.587.060.000.000,99.000.000.000.000.000,50.000.000.000.000.000,91.000.000.000.000.000,44.000.000.000.000.000,0.64572875,168.106.264.100.000.000,2.935.942.650.000.000,0.44720224,1.527.071.240.000.000,3/5/2016 3:44
222,3/5/2016 17:26,538.808.000.000.000.000.000,0.56932217,-1.574.940.210.000.000,-80.975.349.429.999.800,5.000.000.000.000.000,3.697.676.950.000.000,33.000.000.000.000.000,22.000.000.000.000.000,30.000.000.000.000.000,19.000.000.000.000.000,0.75313118,229.677.085.900.000.000,3.787.446.020.000.000,0.20238437,2.204.274.650.000.000,3/5/2016 17:26
223,3/5/2016 21:04,146.448.000.000.000.000.000,0.78050822,-1.424.650.190.000.000,-81.277.763.370.000.000,10.000.000.000.000.000,3.830.332.450.000.000,28.000.000.000.000.000,23.000.000.000.000.000,26.000.000.000.000.000,21.000.000.000.000.000,1.122.834.680.000.000,249.283.805.800.000.000,4.029.704.090.000.000,0.51650202,2.886.860.370.000.000,3/5/2016 21:04
224,4/5/2016 13:36,39.405.000.000.000.000.000,0.51748728,-2.066.591.980.000.000,-77.359.741.209.999.800,10.000.000.000.000.000,3.561.450.170.000.000,40.000.000.000.000.000,36.000.000.000.000.000,35.000.000.000.000.000,31.000.000.000.000.000,0.6192184,225.609.127.900.000.000,2.221.981.050.000.000,0.87558001,1.623.278.740.000.000,4/5/2016 13:36
225,4/5/2016 16:38,611.253.000.000.000.000.000,0.43032017,-1.548.190.950.000.000,-80.963.333.129.999.800,5.000.000.000.000.000,4.712.578.270.000.000,62.000.000.000.000.000,57.000.000.000.000.000,58.000.000.000.000.000,54.000.000.000.000.000,1.008.045.480.000.000,229.109.272.000.000.000,4.160.339.830.000.000,0.18819281,2.633.861.070.000.000,4/5/2016 16:38
226,4/5/2016 22:28,638.226.000.000.000.000.000,0.66185296,-1.265.528.320.000.000,-81.147.613.530.000.000,5.000.000.000.000.000,4.922.777.840.000.000,70.000.000.000.000.000,56.000.000.000.000.000,68.000.000.000.000.000,54.000.000.000.000.000,0.84851378,244.914.588.900.000.000,3.927.788.970.000.000,0.46443781,2.764.400.720.000.000,4/5/2016 22:28
227,5/5/2016 0:39,71.712.000.000.000.000.000,0.6656954,-0.25380459,-80.513.885.500.000.000,7.729.276.660.000.000,3.927.432.910.000.000,47.000.000.000.000.000,47.000.000.000.000.000,44.000.000.000.000.000,44.000.000.000.000.000,1.065.659.810.000.000,209.099.845.899.999.000,3.065.601.830.000.000,0.15693596,2.156.321.760.000.000,5/5/2016 0:39
228,5/5/2016 15:08,574.647.000.000.000.000.000,0.86675781,-1.261.007.910.000.000,-81.322.738.650.000.000,10.000.000.000.000.000,4.134.970.830.000.000,50.000.000.000.000.000,42.000.000.000.000.000,47.000.000.000.000.000,40.000.000.000.000.000,0.84212187,257.077.056.900.000.000,4.188.042.640.000.000,0.66853553,2.894.001.010.000.000,5/5/2016 15:08
229,5/5/2016 18:20,966.645.000.000.000.000.000,1.176.536.650.000.000,-1.565.686.110.000.000,-81.259.078.979.999.800,10.000.000.000.000.000,3.813.894.960.000.000,33.000.000.000.000.000,26.000.000.000.000.000,31.000.000.000.000.000,24.000.000.000.000.000,0.89961849,248.093.383.800.000.000,4.095.228.190.000.000,1.435.701.610.000.000,2.999.286.180.000.000,5/5/2016 18:20
230,5/5/2016 19:23,947.172.000.000.000.000.000,0.60598711,-0.09052063,-80.328.887.940.000.000,12.685.443.879.999.900,3.522.905.380.000.000,40.000.000.000.000.000,37.000.000.000.000.000,37.000.000.000.000.000,34.000.000.000.000.000,0.90695811,206.959.007.300.000.000,2.568.792.110.000.000,0.2133338,1.787.481.790.000.000,5/5/2016 19:23
231,5/5/2016 19:25,777.666.000.000.000.000.000,0.61103648,-0.09223631,-80.259.704.589.999.800,7.891.428.470.000.000,3.645.130.980.000.000,40.000.000.000.000.000,37.000.000.000.000.000,38.000.000.000.000.000,35.000.000.000.000.000,0.49759438,189.848.964.700.000.000,2.793.766.500.000.000,0.18177792,1.930.032.610.000.000,5/5/2016 19:25
232,6/5/2016 0:48,64.216.000.000.000.000.000,1.492.226.490.000.000,-2.657.441.850.000.000,-77.092.681.880.000.000,21.770.048.140.000.000,3.584.075.440.000.000,37.000.000.000.000.000,33.000.000.000.000.000,34.000.000.000.000.000,30.000.000.000.000.000,0.5531306,249.658.950.800.000.000,2.998.715.880.000.000,1.412.416.700.000.000,2.055.992.360.000.000,6/5/2016 0:48
233,6/5/2016 2:05,505.278.000.000.000.000.000,0.66293951,0.62100011,-80.162.551.879.999.800,7.909.708.980.000.000,4.304.776.030.000.000,69.000.000.000.000.000,63.000.000.000.000.000,64.000.000.000.000.000,58.000.000.000.000.000,0.84047971,214.880.916.600.000.000,2.493.313.550.000.000,0.39589623,2.099.002.360.000.000,6/5/2016 2:05
234,6/5/2016 4:40,17.811.000.000.000.000.000,1.922.788.760.000.000,-0.18489327,-80.812.080.379.999.800,2.896.517.990.000.000,3.657.997.070.000.000,36.000.000.000.000.000,36.000.000.000.000.000,34.000.000.000.000.000,34.000.000.000.000.000,0.83559722,287.706.035.600.000.000,3.009.895.090.000.000,0.43252417,2.377.685.310.000.000,6/5/2016 4:40
235,6/5/2016 5:21,799.310.000.000.000.000.000,0.47935251,-2.809.417.960.000.000,-78.065.696.720.000.000,5.000.000.000.000.000,4.080.309.010.000.000,46.000.000.000.000.000,41.000.000.000.000.000,44.000.000.000.000.000,39.000.000.000.000.000,0.82030234,204.753.770.400.000.000,2.346.422.200.000.000,0.54695612,1.830.580.120.000.000,6/5/2016 5:21
236,6/5/2016 6:47,425.495.000.000.000.000.000,1.075.071.520.000.000,-1.504.552.130.000.000,-80.953.186.040.000.000,6.197.438.240.000.000,3.789.229.960.000.000,16.000.000.000.000.000,16.000.000.000.000.000,15.000.000.000.000.000,15.000.000.000.000.000,0.87760867,228.830.396.699.999.000,2.657.005.070.000.000,0.18248308,2.155.050.520.000.000,6/5/2016 6:47
237,6/5/2016 20:41,104.504.000.000.000.000.000,0.82188312,-0.0324007,-80.212.707.519.999.800,7.262.512.680.000.000,3.727.516.090.000.000,28.000.000.000.000.000,27.000.000.000.000.000,25.000.000.000.000.000,24.000.000.000.000.000,0.53755565,204.778.722.800.000.000,2.423.184.870.000.000,0.23389103,1.850.476.620.000.000,6/5/2016 20:41
238,7/5/2016 4:37,641.346.000.000.000.000.000,0.51924338,-2.720.144.510.000.000,-80.168.807.979.999.800,6.073.553.090.000.000,3.856.712.260.000.000,55.000.000.000.000.000,41.000.000.000.000.000,52.000.000.000.000.000,39.000.000.000.000.000,0.84818177,159.604.492.200.000.000,3.505.646.940.000.000,0.62289697,2.528.328.420.000.000,7/5/2016 4:37
239,7/5/2016 21:46,647.280.000.000.000.000.000,0.65309128,-1.126.465.440.000.000,-81.339.233.399.999.800,0,4.393.873.220.000.000,54.000.000.000.000.000,46.000.000.000.000.000,52.000.000.000.000.000,44.000.000.000.000.000,0.96034472,258.926.563.300.000.000,4.311.205.860.000.000,0.70060241,2.909.893.750.000.000,7/5/2016 21:46
240,8/5/2016 0:08,189.336.000.000.000.000.000,1.200.310.030.000.000,-0.21355033,-80.542.945.860.000.000,8.463.187.220.000.000,3.544.175.950.000.000,65.000.000.000.000.000,63.000.000.000.000.000,61.000.000.000.000.000,60.000.000.000.000.000,0.92282069,253.522.003.200.000.000,3.564.275.980.000.000,0.33875737,2.192.925.930.000.000,8/5/2016 0:08
241,8/5/2016 22:58,904.181.000.000.000.000.000,0.17124634,-0.29719934,-79.701.362.610.000.000,26.322.036.740.000.000,3.758.257.880.000.000,91.000.000.000.000.000,82.000.000.000.000.000,84.000.000.000.000.000,75.000.000.000.000.000,0.97718466,102.036.560.100.000.000,2.405.618.430.000.000,0.1534595,1.342.614.410.000.000,8/5/2016 22:58
242,9/5/2016 12:49,847.817.000.000.000.000.000,0.38272668,-0.38830534,-80.323.463.439.999.800,13.126.331.329.999.900,4.195.208.140.000.000,81.000.000.000.000.000,80.000.000.000.000.000,75.000.000.000.000.000,74.000.000.000.000.000,1.014.554.180.000.000,124.611.908.000.000.000,3.297.131.060.000.000,0.10525277,1.928.335.190.000.000,9/5/2016 12:49
243,10/5/2016 0:12,968.492.000.000.000.000.000,0.47196213,-2.539.569.140.000.000,-80.114.143.369.999.800,17.515.842.440.000.000,3.694.142.700.000.000,39.000.000.000.000.000,39.000.000.000.000.000,39.000.000.000.000.000,39.000.000.000.000.000,1.011.401.030.000.000,138.829.055.799.999.000,2.804.317.950.000.000,0.4297955,2.281.695.600.000.000,10/5/2016 0:12
244,11/5/2016 23:04,684.163.000.000.000.000.000,0.38007471,-0.01769933,-80.274.536.130.000.000,11.933.270.450.000.000,4.268.515.340.000.000,61.000.000.000.000.000,61.000.000.000.000.000,54.000.000.000.000.000,54.000.000.000.000.000,0.86110873,187.350.235.000.000.000,2.566.900.730.000.000,0.25708118,1.940.025.210.000.000,11/5/2016 23:04
245,12/5/2016 14:18,293.427.000.000.000.000.000,0.62660697,-0.64640826,-81.153.442.380.000.000,5.000.000.000.000.000,4.068.524.510.000.000,47.000.000.000.000.000,40.000.000.000.000.000,42.000.000.000.000.000,36.000.000.000.000.000,0.90955867,270.500.839.199.999.000,3.091.652.390.000.000,0.51087374,2.601.190.570.000.000,12/5/2016 14:18
246,14/5/16 13:59,380.673.000.000.000.000.000,0.26592672,-0.94809616,-79.720.832.819.999.800,10.000.000.000.000.000,3.821.449.950.000.000,31.000.000.000.000.000,31.000.000.000.000.000,30.000.000.000.000.000,30.000.000.000.000.000,0.95989736,67.612.945.560.000.000,1.530.225.040.000.000,0.59923059,1.262.724.880.000.000,14/5/16 13:59
247,15/5/16 06:53,758.250.000.000.000.000.000,0.64574905,-0.60743517,-80.689.918.520.000.000,2.479.351.520.000.000,3.754.375.880.000.000,63.000.000.000.000.000,55.000.000.000.000.000,61.000.000.000.000.000,53.000.000.000.000.000,0.65376946,222.290.630.300.000.000,3.409.147.020.000.000,0.33421534,2.230.397.700.000.000,15/5/16 06:53
248,16/5/16 04:50,371.121.000.000.000.000.000,0.33650457,0.69728023,-79.734.252.929.999.800,8.786.198.620.000.000,3.556.211.860.000.000,51.000.000.000.000.000,51.000.000.000.000.000,48.000.000.000.000.000,48.000.000.000.000.000,0.83066715,149.540.727.900.000.000,2.519.951.580.000.000,0.19077297,1.763.845.800.000.000,16/5/16 04:50
249,17/5/16 22:51,356.752.000.000.000.000.000,0.74920493,-0.06276423,-80.533.950.809.999.800,10.000.000.000.000.000,3.957.491.730.000.000,59.000.000.000.000.000,52.000.000.000.000.000,54.000.000.000.000.000,50.000.000.000.000.000,0.76461112,238.947.685.200.000.000,3.047.566.650.000.000,1.120.276.330.000.000,2.243.932.250.000.000,17/5/16 22:51
250,18/5/16 00:03,295.926.000.000.000.000.000,0.63307639,-0.29408363,-80.491.752.620.000.000,5.738.338.470.000.000,3.539.576.900.000.000,45.000.000.000.000.000,34.000.000.000.000.000,40.000.000.000.000.000,30.000.000.000.000.000,0.84233762,226.430.725.099.998.000,2.764.805.560.000.000,0.28444347,2.026.549.820.000.000,18/5/16 00:03
251,18/5/16 07:57,673.954.000.000.000.000.000,0.42038396,0.43387711,-80.009.613.040.000.000,17.187.866.209.999.900,6.738.195.050.000.000,106.000.000.000.000.000,30.000.000.000.000.000,104.000.000.000.000.000,28.000.000.000.000.000,0.62584681,181.855.197.900.000.000,1.894.070.860.000.000,0.51472449,1.570.932.870.000.000,18/5/16 07:57
252,18/5/16 08:06,746.107.000.000.000.000.000,0.5247467,0.44482619,-79.882.339.479.999.800,7.352.724.080.000.000,5.383.914.320.000.000,74.000.000.000.000.000,72.000.000.000.000.000,73.000.000.000.000.000,71.000.000.000.000.000,0.89317155,203.887.584.699.999.000,2.408.980.610.000.000,0.39822406,1.831.241.010.000.000,18/5/16 08:06
253,18/5/16 08:19,428.258.000.000.000.000.000,0.49396824,0.48923105,-79.980.758.670.000.000,4.948.595.050.000.000,4.477.843.820.000.000,51.000.000.000.000.000,47.000.000.000.000.000,48.000.000.000.000.000,45.000.000.000.000.000,1.241.227.990.000.000,182.828.624.700.000.000,3.909.151.320.000.000,0.46614772,1.941.670.890.000.000,18/5/16 08:19
254,18/5/16 08:51,790.859.000.000.000.000.000,0.52327262,0.45745102,-79.799.888.609.999.800,8.789.753.910.000.000,3.767.757.010.000.000,24.000.000.000.000.000,24.000.000.000.000.000,22.000.000.000.000.000,22.000.000.000.000.000,1.515.671.290.000.000,186.009.208.699.998.000,2.171.314.720.000.000,0.47996172,1.700.723.890.000.000,18/5/16 08:51
255,18/5/16 09:21,251.030.000.000.000.000.000,0.51396496,0.4630107,-79.925.895.690.000.000,0.96629351,3.816.125.780.000.000,34.000.000.000.000.000,32.000.000.000.000.000,33.000.000.000.000.000,31.000.000.000.000.000,1.782.716.530.000.000,172.469.495.800.000.000,2.449.426.410.000.000,0.47246996,1.829.266.550.000.000,18/5/16 09:21
256,18/5/16 16:46,216.915.000.000.000.000.000,0.40652647,0.47301251,-79.815.452.579.999.800,20.762.855.530.000.000,6.941.005.730.000.000,76.000.000.000.000.000,29.000.000.000.000.000,70.000.000.000.000.000,25.000.000.000.000.000,0.9210802,160.162.129.400.000.000,2.222.388.510.000.000,0.3270351,1.488.911.750.000.000,18/5/16 16:46
257,18/5/16 16:52,93.365.000.000.000.000.000,0.70822574,0.44336644,-79.831.657.410.000.000,13.339.309.690.000.000,5.177.988.210.000.000,21.000.000.000.000.000,21.000.000.000.000.000,19.000.000.000.000.000,19.000.000.000.000.000,0.66200676,207.274.005.899.999.000,2.188.831.810.000.000,0.35746109,1.477.127.310.000.000,18/5/16 16:52
258,18/5/16 17:21,494.714.000.000.000.000.000,0.59514842,0.33096167,-79.852.279.659.999.800,9.548.019.410.000.000,3.897.646.890.000.000,35.000.000.000.000.000,35.000.000.000.000.000,34.000.000.000.000.000,34.000.000.000.000.000,1.044.698.190.000.000,184.003.772.700.000.000,1.990.079.520.000.000,0.37510875,1.582.078.340.000.000,18/5/16 17:21
259,18/5/16 17:35,516.614.000.000.000.000.000,0.43209284,0.46697542,-79.783.424.380.000.000,2.749.555.590.000.000,4.177.475.480.000.000,50.000.000.000.000.000,50.000.000.000.000.000,47.000.000.000.000.000,47.000.000.000.000.000,0.85468118,180.390.056.600.000.000,2.303.224.320.000.000,0.30504504,1.623.927.350.000.000,18/5/16 17:35
260,18/5/16 18:18,962.414.000.000.000.000.000,0.68904101,0.64164245,-80.042.762.760.000.000,5.116.958.620.000.000,3.594.838.540.000.000,32.000.000.000.000.000,32.000.000.000.000.000,32.000.000.000.000.000,32.000.000.000.000.000,0.79663758,206.849.975.599.999.000,2.144.581.800.000.000,0.43125239,1.728.350.160.000.000,18/5/16 18:18
261,18/5/16 20:46,836.650.000.000.000.000.000,0.70755373,0.63789713,-80.086.013.789.999.800,2.205.989.840.000.000,4.051.594.040.000.000,42.000.000.000.000.000,42.000.000.000.000.000,41.000.000.000.000.000,41.000.000.000.000.000,0.71490599,210.001.277.899.999.000,2.613.415.240.000.000,0.46642619,2.062.833.790.000.000,18/5/16 20:46
262,19/5/16 07:05,172.920.000.000.000.000.000,0.5547795,0.64133233,-80.158.615.110.000.000,5.411.177.630.000.000,4.797.156.960.000.000,78.000.000.000.000.000,76.000.000.000.000.000,73.000.000.000.000.000,71.000.000.000.000.000,1.039.916.640.000.000,204.349.952.699.998.000,2.875.652.790.000.000,0.5227865,2.108.332.870.000.000,19/5/16 07:05
263,19/5/16 09:43,94.105.000.000.000.000.000,0.53959651,0.6059615,-80.107.711.789.999.800,7.472.309.110.000.000,3.629.428.280.000.000,60.000.000.000.000.000,57.000.000.000.000.000,56.000.000.000.000.000,53.000.000.000.000.000,0.92785318,200.825.191.499.998.000,2.819.484.000.000.000,0.50340611,2.049.664.740.000.000,19/5/16 09:43
264,19/5/16 13:54,145.961.000.000.000.000.000,0.54494944,0.28956547,-80.001.983.640.000.000,7.248.035.910.000.000,3.736.389.360.000.000,40.000.000.000.000.000,40.000.000.000.000.000,40.000.000.000.000.000,40.000.000.000.000.000,0.88018309,170.978.912.400.000.000,2.362.839.460.000.000,0.42536128,1.825.828.670.000.000,19/5/16 13:54
265,20/5/16 13:11,291.522.000.000.000.000.000,0.42104349,-0.85512078,-80.619.445.799.999.800,2.333.583.120.000.000,3.682.180.890.000.000,32.000.000.000.000.000,31.000.000.000.000.000,31.000.000.000.000.000,30.000.000.000.000.000,0.99541175,153.970.495.199.998.000,3.168.566.940.000.000,0.22472188,2.139.258.390.000.000,20/5/16 13:11
266,20/5/16 17:12,969.069.000.000.000.000.000,0.56116794,0.48234129,-79.944.923.399.999.800,10.117.741.580.000.000,3.614.607.250.000.000,44.000.000.000.000.000,44.000.000.000.000.000,41.000.000.000.000.000,41.000.000.000.000.000,0.8489032,216.699.386.600.000.000,2.415.320.400.000.000,0.43573892,1.856.093.760.000.000,20/5/16 17:12
267,20/5/16 22:49,879.810.000.000.000.000.000,0.34101758,-2.861.712.690.000.000,-79.557.174.680.000.000,11.019.624.710.000.000,3.951.795.710.000.000,41.000.000.000.000.000,31.000.000.000.000.000,41.000.000.000.000.000,31.000.000.000.000.000,0.99268083,63.102.447.509.999.800,2.897.953.510.000.000,0.47327903,1.803.292.390.000.000,20/5/16 22:49
268,21/5/16 01:22,255.485.000.000.000.000.000,0.59051428,-2.546.721.930.000.000,-77.869.468.690.000.000,10.000.000.000.000.000,3.925.815.420.000.000,30.000.000.000.000.000,30.000.000.000.000.000,29.000.000.000.000.000,29.000.000.000.000.000,1.241.359.300.000.000,202.377.195.800.000.000,3.374.686.720.000.000,0.70266861,1.966.236.350.000.000,21/5/16 01:22
269,22/5/16 14:44,895.824.000.000.000.000.000,0.49441873,-2.036.488.060.000.000,-80.682.228.089.999.800,9.426.224.710.000.000,3.656.467.440.000.000,22.000.000.000.000.000,22.000.000.000.000.000,22.000.000.000.000.000,22.000.000.000.000.000,1.381.469.620.000.000,175.285.003.700.000.000,3.892.693.280.000.000,0.49702907,2.269.658.570.000.000,22/5/16 14:44
270,23/5/16 02:28,29.153.000.000.000.000.000,0.58906881,0.29687914,-80.321.640.009.999.800,9.521.323.199.999.990,3.677.348.190.000.000,43.000.000.000.000.000,43.000.000.000.000.000,40.000.000.000.000.000,40.000.000.000.000.000,0.91015048,197.407.291.399.999.000,2.716.854.330.000.000,0.57222444,2.039.795.160.000.000,23/5/16 02:28
271,23/5/16 05:52,958.154.000.000.000.000.000,0.5253042,-0.91760266,-80.738.395.690.000.000,3.480.151.180.000.000,3.542.965.430.000.000,27.000.000.000.000.000,23.000.000.000.000.000,26.000.000.000.000.000,22.000.000.000.000.000,0.98823193,166.022.037.500.000.000,3.207.160.710.000.000,0.13491915,2.260.579.590.000.000,23/5/16 05:52
272,24/5/16 21:03,486.837.000.000.000.000.000,0.36738289,0.46407443,-79.855.049.129.999.800,21.087.863.920.000.000,4.873.263.920.000.000,90.000.000.000.000.000,22.000.000.000.000.000,88.000.000.000.000.000,20.000.000.000.000.000,0.42229356,161.426.340.100.000.000,1.649.565.700.000.000,0.36493513,1.093.849.420.000.000,24/5/16 21:03
273,25/5/16 20:20,664.647.000.000.000.000.000,,-0.61889648,-81.112.060.549.999.800,3.536.946.620.000.000,4.514.541.260.000.000,68.000.000.000.000.000,66.000.000.000.000.000,,66.000.000.000.000.000,0.78755261,227.508.085.499.999.000,3.581.836.810.000.000,0.5797449,2.664.659.840.000.000,25/5/16 20:20
274,25/5/16 21:21,292.200.000.000.000.000.000,0.65944392,0.35699272,-80.880.294.800.000.000,10.000.000.000.000.000,3.619.919.970.000.000,45.000.000.000.000.000,18.000.000.000.000.000,42.000.000.000.000.000,17.000.000.000.000.000,0.87643714,251.954.734.800.000.000,3.043.138.980.000.000,0.86564267,2.861.805.200.000.000,25/5/16 21:21
275,26/5/16 00:42,383.831.000.000.000.000.000,0.73620042,0.35131857,-80.780.403.140.000.000,10.000.000.000.000.000,4.318.095.110.000.000,62.000.000.000.000.000,42.000.000.000.000.000,60.000.000.000.000.000,40.000.000.000.000.000,1.147.327.980.000.000,247.957.900.999.999.000,2.969.198.700.000.000,0.81289804,2.555.638.310.000.000,26/5/16 00:42
276,27/5/16 03:31,554.466.000.000.000.000.000,0.36100373,-0.34782916,-79.664.108.279.999.800,16.564.756.389.999.900,3.596.703.450.000.000,50.000.000.000.000.000,45.000.000.000.000.000,50.000.000.000.000.000,45.000.000.000.000.000,0.81475595,134.123.626.699.998.000,4.515.780.450.000.000,0.17882474,1.455.089.090.000.000,27/5/16 03:31
277,27/5/16 04:09,273.045.000.000.000.000.000,0.3845342,-2.100.181.100.000.000,-80.236.442.569.999.800,8.867.918.970.000.000,3.795.012.340.000.000,66.000.000.000.000.000,56.000.000.000.000.000,60.000.000.000.000.000,53.000.000.000.000.000,0.99388395,141.547.393.800.000.000,3.206.415.650.000.000,0.71164393,2.241.154.190.000.000,27/5/16 04:09
278,31/5/16 15:48,122.460.000.000.000.000.000,0.97892692,0.39175928,-80.395.484.920.000.000,3.998.986.960.000.000,4.207.712.690.000.000,62.000.000.000.000.000,59.000.000.000.000.000,60.000.000.000.000.000,57.000.000.000.000.000,0.80576937,228.745.914.500.000.000,2.866.349.220.000.000,0.68133265,2.240.320.680.000.000,31/5/16 15:48
279,1/6/2016 2:12,77.480.000.000.000.000.000,0.50888895,-0.1550367,-80.714.096.069.999.800,10.000.000.000.000.000,3.954.329.590.000.000,60.000.000.000.000.000,51.000.000.000.000.000,58.000.000.000.000.000,49.000.000.000.000.000,0.80470286,204.335.144.000.000.000,3.025.784.730.000.000,0.36647987,2.324.913.260.000.000,1/6/2016 2:12
280,1/6/2016 10:05,739.334.000.000.000.000.000,0.64605784,0.32884479,-80.577.278.140.000.000,13.480.903.630.000.000,5.235.327.370.000.000,96.000.000.000.000.000,40.000.000.000.000.000,89.000.000.000.000.000,36.000.000.000.000.000,0.60085946,213.452.693.900.000.000,2.649.878.500.000.000,0.69804251,2.047.054.770.000.000,1/6/2016 10:05
281,1/6/2016 15:00,462.697.000.000.000.000.000,0.70970483,0.27599418,-80.612.846.370.000.000,11.447.870.249.999.900,4.850.151.030.000.000,91.000.000.000.000.000,31.000.000.000.000.000,84.000.000.000.000.000,27.000.000.000.000.000,0.54061363,216.845.592.500.000.000,2.523.655.180.000.000,0.67475188,1.657.103.060.000.000,1/6/2016 15:00
282,1/6/2016 15:03,819.890.000.000.000.000.000,0.83901202,0.27340692,-80.564.926.150.000.000,10.000.000.000.000.000,4.263.779.350.000.000,18.000.000.000.000.000,15.000.000.000.000.000,16.000.000.000.000.000,14.000.000.000.000.000,0.62736437,249.752.754.200.000.000,2.698.480.840.000.000,0.64503056,2.166.067.840.000.000,1/6/2016 15:03
283,2/6/2016 0:18,902.915.000.000.000.000.000,0.49397803,-0.23528993,-80.745.544.429.999.800,10.000.000.000.000.000,3.981.961.950.000.000,64.000.000.000.000.000,56.000.000.000.000.000,59.000.000.000.000.000,53.000.000.000.000.000,0.80962855,228.940.490.700.000.000,3.000.806.570.000.000,0.35063472,2.343.599.320.000.000,2/6/2016 0:18
284,3/6/2016 13:45,879.911.000.000.000.000.000,0.48850387,-2.497.700.690.000.000,-77.763.710.020.000.000,10.000.000.000.000.000,4.502.224.180.000.000,59.000.000.000.000.000,47.000.000.000.000.000,57.000.000.000.000.000,45.000.000.000.000.000,1.261.962.740.000.000,210.747.634.900.000.000,3.528.349.640.000.000,0.97725981,2.028.190.850.000.000,3/6/2016 13:45
285,5/6/2016 7:32,120.642.000.000.000.000.000,0.67618672,0.30503881,-80.089.996.339.999.900,5.336.596.970.000.000,3.519.691.640.000.000,50.000.000.000.000.000,50.000.000.000.000.000,50.000.000.000.000.000,50.000.000.000.000.000,0.76124037,222.123.146.100.000.000,2.443.721.290.000.000,0.48993081,1.961.247.560.000.000,5/6/2016 7:32
286,6/6/2016 16:45,538.109.000.000.000.000.000,0.5920088,0.63301587,-80.207.702.639.999.800,10.000.000.000.000.000,4.410.724.650.000.000,66.000.000.000.000.000,65.000.000.000.000.000,66.000.000.000.000.000,65.000.000.000.000.000,1.483.351.710.000.000,206.227.268.200.000.000,2.683.854.820.000.000,0.56851399,2.151.233.200.000.000,6/6/2016 16:45
287,7/6/2016 11:49,828.739.000.000.000.000.000,0.57420152,-1.048.911.450.000.000,-79.354.667.660.000.000,89.925.865.169.999.800,3.618.762.060.000.000,60.000.000.000.000.000,49.000.000.000.000.000,58.000.000.000.000.000,48.000.000.000.000.000,0.77012697,91.849.121.089.999.800,2.333.446.740.000.000,0.65632832,1.057.656.530.000.000,7/6/2016 11:49
288,14/6/16 23:46,540.218.000.000.000.000.000,0.38073834,0.57933265,-79.768.966.669.999.800,18.089.092.250.000.000,3.502.378.270.000.000,28.000.000.000.000.000,28.000.000.000.000.000,27.000.000.000.000.000,27.000.000.000.000.000,0.84116551,152.662.928.599.998.000,1.864.088.660.000.000,0.23637465,1.396.680.000.000.000,14/6/16 23:46
289,18/6/16 17:42,885.641.000.000.000.000.000,0.54568111,0.56037962,-80.000.083.919.999.800,4.099.289.890.000.000,3.545.285.060.000.000,37.000.000.000.000.000,35.000.000.000.000.000,35.000.000.000.000.000,33.000.000.000.000.000,0.74030083,192.044.551.799.999.000,2.423.259.500.000.000,0.46275455,1.748.576.050.000.000,18/6/16 17:42
290,20/6/16 03:56,560.990.000.000.000.000.000,0.34190602,-3.309.452.530.000.000,-80.046.440.120.000.000,26.389.320.370.000.000,3.791.633.050.000.000,59.000.000.000.000.000,49.000.000.000.000.000,56.000.000.000.000.000,46.000.000.000.000.000,0.73892881,148.246.337.899.998.000,3.867.492.440.000.000,0.13770823,2.894.788.980.000.000,20/6/16 03:56
291,20/6/16 11:59,773.576.000.000.000.000.000,0.17639687,-0.9501918,-80.542.037.960.000.000,4.000.000.000.000.000,4.549.258.390.000.000,70.000.000.000.000.000,55.000.000.000.000.000,66.000.000.000.000.000,51.000.000.000.000.000,0.85072217,98.695.697.780.000.000,2.623.600.250.000.000,0.19271599,2.085.238.930.000.000,20/6/16 11:59
292,20/6/16 23:24,148.173.000.000.000.000.000,0.20849121,-0.99726027,-80.568.450.929.999.800,4.098.420.140.000.000,4.430.412.020.000.000,80.000.000.000.000.000,55.000.000.000.000.000,72.000.000.000.000.000,51.000.000.000.000.000,0.6918259,122.096.263.900.000.000,3.205.051.420.000.000,0.16916053,2.155.496.360.000.000,20/6/16 23:24
